"Country","Continent","Status","Life_expectancy","Adult_Mortality","infant_deaths","Alcohol","percentage_expenditure","Hepatitis_B","Measles","BMI","under_five_deaths","Polio","Total_expenditure","Diphtheria","HIV_AIDS","GDP","Population","thinness_10_19_years","thinness_5_9_years","Income_composition","Schooling","GDP_log","Population_log","Measles_log","percentage_expenditure_log","infant_deaths_log","under_five_deaths_log","n_years","Mahalanobis_Distance"
"Kazakhstan","Asia","Developing",66.7625,232.0625,7.125,6.988125,203.03090856,97.3125,1246.9375,45.15625,8.0625,97.5,4.296875,96.4375,0.1,4040.586664375,16523260.0625,2.4375,2.54375,0.7450625,14.025,7.46998267409071,16.6190937308522,4.42659107414721,4.27931841062885,2.0785983335418,2.18729047013116,16,7.31240202762295
"Kenya","Africa","Developing",57.48125,348.5625,65.875,1.534375,61.6554643435,69.25,2643.875,15.5625,98.625,70.1875,4.655625,70.5,8.7625,716.77006788125,38748857.3125,8.4,8.2875,0.497125,9.96875,6.18786517595423,17.4636753085201,5.95892330107676,3.4326285859206,4.19652789597797,4.58964542991904,16,5.5854724789044
"Kiribati","Oceania","Developing",65.15,129.4375,0,0.603125,77.126103345,75.1875,0,69.43125,0,75.25,5.6925,74.9375,0.1,1175.29241553125,103118.4375,0.15625,0.1375,0.36375,11.69375,6.85345731772448,11.539805273909,0,3.65134230643396,0,0,16,22.5706705731812
"Kuwait","Asia","Developing",73.84375,83.25,0.5,0.033125,1719.84098058125,98.1875,15.375,59.60625,1,98.1875,2.99125,98.5,0.1,31914.378339375,2704244.1875,3.28125,3.15625,0.7895,13.725,9.99338255438331,14.7854234231193,1.75640962810948,6.70613477099693,0.346573590279973,0.693147180559945,16,9.26382792719093
"Kyrgyzstan","Asia","Developing",69.08125,173.6875,3.75,2.7,0,85.5625,1156.625,35.1125,4.125,95.875,6.0675,96.5625,0.1125,1122.9384767875,5358042.875,3.35625,3.4125,0.6220625,12.3375,6.227798538689,15.4921593171012,2.94861205180905,0,1.55365202460555,1.62967673237583,16,2.10301391123723
"Lao People's Democratic Republic","Asia","Developing",62.38125,197.1875,10.625,3.759375,0,60.625,552.75,14.3625,14.75,58.8125,3.585,61.5,0.2,1125.29773165625,6107418,6.275,6.38125,0.515625,9.23125,6.34507186440841,15.6226337173193,5.43460746750356,0,2.44166711104184,2.74253729105413,16,3.78802383828087
"Latvia","Europe","Developed",73.73125,161.8125,0,9.116875,530.60519180375,88.9375,3.3125,51.30625,0,95.0625,6.461875,95,0.1,7951.824896625,2169873.8125,2.40625,2.43125,0.7925,15.56875,8.68988549550476,14.5885325535988,0.68424092664699,5.4389825459539,0,0,16,3.80396505515386
"Lebanon","Asia","Developing",74.2,65.3125,1,1.8,333.047945132063,70.5,295.1875,55.3375,1,71.25,6.539375,70.5,0.1,4696.1923789375,5027468.1875,4.76875,4.71875,0.4696875,13.74375,7.95534287177651,15.4232657074346,4.24151279049332,4.80222880713322,0.693147180559945,0.693147180559945,16,13.0594807134002
"Lesotho","Africa","Developing",48.78125,550.0625,4.5,1.956875,82.1189129000625,73.625,266.6875,25.2375,6.3125,67.9375,7.488125,79.4375,22.96875,794.5230103125,2002517.625,7.1875,7.06875,0.4568125,10.65625,6.36266454188035,14.5096711555626,2.64017619234328,3.75952373136574,1.70059869083108,1.98763870925048,16,31.892530334237
"Liberia","Africa","Developing",57.525,246.9375,10.6875,3.165,25.27170667675,44.125,705.3125,19.9875,14.75,59.4375,6.798125,40.6875,2.28125,246.28174803125,3742913.625,7.8375,7.7625,0.3894375,9.86875,5.25314907803363,15.1231916787677,3.97454235188923,2.87106809293964,2.44421848569936,2.73776397988009,16,5.16097970791598
"Libya","Africa","Developing",72.4875,139.6875,2.1875,0.1175,180.0749890925,96.3125,547.3125,54.8375,2.5,96.5,3.803125,96.5,0.1,5454.8779596875,6025170.9375,5.6,5.43125,0.7408125,14.79375,7.95550238399556,15.609287152233,3.57635228261862,3.68983813690261,1.14519123752429,1.242453324894,16,2.51086799279969
"Lithuania","Europe","Developed",72.80625,117.25,0,12.879375,1015.75384256375,94.75,14.9375,49.23125,0,88.8125,6.613125,94.25,0.1,9007.4586225,3207170.9375,2.9375,2.96875,0.8066875,16.1,8.55178067221125,14.9790213194914,1.64772535428071,6.00564614258597,0,0,16,4.86534335947822
"Luxembourg","Europe","Developed",80.78125,67.5625,0,11.80375,8177.5763413625,92.375,1.125,47.825,0,98.0625,7.466875,98.9375,0.1,53257.012740625,491467.1875,0.95,0.9125,0.878125,13.6375,10.1779332435093,13.1017124345489,0.414252586011221,7.99451437653012,0,0,16,8.38077407109919
"Madagascar","Africa","Developing",62.74375,228.8125,34.9375,0.821875,43.25315657175,61.125,9576.1875,14.76875,51.125,59.9375,4.745625,61.25,0.525,314.04132958125,20764149.3125,7.86875,7.78125,0.4566875,9.33125,5.58729378975982,16.8399089659657,3.71338172043037,3.42038155838669,3.57264492472348,3.93724700869348,16,3.6339729783437
"Malawi","Africa","Developing",49.89375,424.4375,37.125,1.13,25.8497064568125,87.875,7559.4375,16.78125,58.75,89.0625,6.42375,83.625,16.68125,237.50404201875,13945564.625,7.11875,6.9875,0.410625,10.23125,5.03451780778511,16.4424094206169,3.99850545207593,2.65191018423006,3.62361484780294,4.06456318775689,16,14.6399054589635
"Malaysia","Asia","Developing",73.75625,118.5625,3.3125,0.768125,248.88502812,96,1453.125,29.16875,4.125,96.375,3.911875,96.4375,0.1,4904.9389918125,27191516.0625,8.6125,8.40625,0.749125,12.5625,8.07585020164121,17.1139664650026,6.56387360937312,4.84366478079563,1.45602672090558,1.63222810703334,16,3.08974158953737
"Maldives","Asia","Developing",75.5375,83.1875,0,1.575,626.4998210525,97.875,157.875,19.29375,0,97.875,7.826875,97.875,0.1,3818.2969615625,340664.6875,14.19375,14.2875,0.638625,12,7.486088479006,12.7295718824584,2.12173721151943,5.2469910338597,0,0,16,7.20440853617124
"Mali","Africa","Developing",54.9375,202.125,55.9375,0.60625,48.981176981125,62.375,823.3125,17.2125,96.5,62.5,6.42375,67,1.825,530.5121701,14834620.5,7.075,6.35,0.3651875,6.43125,6.04796762549768,16.5016535394817,5.49815539007859,3.3412119453876,4.04077265998395,4.57579769555807,16,8.55504555596629
"Malta","Europe","Developed",80.3625,60.75,0,7.323125,1181.43178558125,82.1875,2.1875,66.18125,0,89.4375,8.161875,89.3125,0.1,10114.797943125,410623.1875,0.75,0.7125,0.8111875,14.30625,8.66222704657468,12.9248383434992,0.94402578581722,6.15855793865691,0,0,16,4.49404019643395
"Mauritania","Africa","Developing",62.8,159.9375,7.8125,0.013125,31.7031471238125,61.0625,815.9375,22.475,11.9375,63.0625,3.914375,60.125,1.1875,635.04960900625,3204791.375,6.48125,6.81875,0.4730625,7.31875,5.95770802339781,14.9717036872581,4.52230166360155,2.9247795516537,2.17514025815065,2.55994668823194,16,4.77298254347406
"Mauritius","Africa","Developing",72.7125,163.5625,0,3.408125,422.239524298938,96.1875,54.3125,25.98125,0,96.5,4.589375,96.3125,0.10625,5299.579823625,1234830.25,7.46875,7.4125,0.722625,13.53125,7.93504855115044,14.0262646466542,1.57061970702568,5.05087370943169,0,0,16,4.27717767842892
"Mexico","North America","Developing",75.71875,111.0625,39.625,5.01875,465.3274957875,94.4375,11,51.41875,46.5,95.0625,6.1275,95,0.1,5179.33080675,109796575.4375,1.73125,1.66875,0.728875,12.325,8.07387303254428,18.5121018301622,1.29361775168213,5.0201454615196,3.68829829971293,3.84226873338669,16,2.28631874875105
"Micronesia (Federated States of)","Oceania","Developing",68.2,154.0625,0,2.73,0,75.4375,8.75,65.15,0,82.375,11.43625,81.875,0.1,772.5242039,109896.375,0.2125,0.20625,0.5868125,10.4,5.96374218705269,11.6071578043414,0.309297493148635,0,0,0,16,12.2108727107428
"Mongolia","Asia","Developing",65.8875,222.125,1.5625,2.881875,126.378363989375,97.4375,2079.25,39.79375,1.9375,97.5625,5.466875,97.375,0.1,1984.6880227125,2658577.25,2.28125,2.3875,0.6620625,12.66875,7.23526772368757,14.7906923694676,3.10442713350662,4.39574425751807,0.921221303870788,1.0585478399543,16,3.80869480355056
"Montenegro","Europe","Developing",74.5,92.75,0,3.09125,455.049824020625,57.125,0.625,50.4875,0,77.875,7.31875,75.25,0.1,4676.5142775,616274,2.1375,2.1875,0.58375,10.71875,7.99337130066859,13.3314071336266,0.223969933653507,5.47428767987757,0,0,16,4.93915720738028
"Morocco","Africa","Developing",72.15625,95.1875,21.375,0.4875,102.98965830775,87.25,2593,48.61875,24.875,96.9375,5.37875,97.1875,0.1,1936.391438375,31453048.25,6.45625,6.3125,0.5855,10.2875,7.31334175005023,17.2621457939344,6.37959834002618,4.1431805163246,3.0997437529235,3.24473760573033,16,3.96504031241047
"Mozambique","Africa","Developing",53.39375,226.25,74.5625,1.2475,37.0341515221875,64.625,4735,16.14375,107.25,69,5.9425,64.0625,11.3875,365.06823808125,21863897.375,3.80625,3.71875,0.3608125,7.9875,5.74030406974366,16.8934856895941,6.17701846336247,3.18934588775488,4.31549509707041,4.67188701786777,16,14.9461673588278
"Myanmar","Asia","Developing",64.2,154.3125,56.625,0.34,12.82456363525,65.875,914.5,17.125,76.9375,70.6875,2.120625,72.375,0.475,616.18435734375,48234086.75,13.13125,13.425,0.48825,8.325,6.02217885897975,17.6909514062639,6.26997359753511,2.03494498644776,4.03260076450299,4.32885682053726,16,4.06130670179812
"Namibia","Africa","Developing",60.4,313.1875,2.875,4.448125,359.930079416937,75.75,722.0625,28.225,3.8125,78.5,7.14875,83.5,13.64375,3042.603507,2057279.25,10.7,10.70625,0.5883125,11.55,7.51688953498408,14.5339489749605,4.76799850228941,5.08950191774706,1.35033410206342,1.56759849656269,16,8.10060552172316
"Nepal","Asia","Developing",66.48125,147.25,29.125,0.21125,40.1620642759375,67.5,4663.5625,15.175,38.125,69.125,5.888125,73.6875,0.15625,395.32846794375,26611340.9375,17.13125,17.66875,0.494375,10.43125,5.76893206753254,17.0961231920194,7.87356519872728,3.12731993733441,3.36044988992564,3.61179081250659,16,5.42816459010718
"Netherlands","Europe","Developed",81.13125,61.625,1,8.294375,3805.68704771875,76.5625,251.9375,53.96875,1,96.8125,6.961875,96.8125,0.1,34964.719796875,16457758.875,1.025,0.9625,0.89975,17.05625,10.0912971290327,16.6161503300747,3.03797216178868,7.34741238787125,0.693147180559945,0.693147180559945,16,4.60290747381008
"New Zealand","Oceania","Developed",81.3375,71.5,0,9.16625,2922.14777979188,70.1875,94.9375,56.625,0,89.125,8.715625,70.625,0.1,14775.554806875,4226056.25,0.3125,0.3,0.8911875,18.86875,8.94557064822693,15.2554413855226,3.6554507957216,6.89180241402886,0,0,16,5.9454054952631
"Nicaragua","North America","Developing",73.45,162.375,3.0625,3.3725,183.662907648813,91.875,0,42.68125,3.6875,88.1875,6.85375,91.875,0.225,957.9039710625,5555823.8125,1.96875,1.875,0.6035,11.1125,6.1899145901203,15.5283736803695,0,4.16780777037082,1.38410620279264,1.52546639644725,16,5.77360925566564
"Niger","Africa","Developing",56.98125,232.4375,52.8125,0.10625,19.099368610625,65.0625,15467.125,16.3625,105.6875,52.9375,6.47,52.3125,1.1625,259.782440975,15325837.875,9.025,8.9125,0.298125,4.01875,5.36909249608728,16.530711379826,7.867624443217,2.57136007525875,3.9837171151559,4.66092353853618,16,7.90711218701285
"Nigeria","Africa","Developing",51.35625,248.5,535.6875,8.81625,85.4442753329375,35.75,51653.9375,19.75,852.0625,41.3125,3.676875,39.3125,4.83125,1360.13987746875,156676527.375,10.41875,10.36875,0.367375,9,6.68613855525095,18.8616111909475,9.77230643209475,3.70023922839606,6.28379855238095,6.74600116402017,16,13.5429967824723
"Norway","Europe","Developed",81.79375,66.25,0,6.234375,4658.81391809375,82.5,6.3125,50.8125,0,93.0625,8.86,87.9375,0.1,27434.946928125,4784754.75,0.7625,0.7,0.9314375,17.46875,9.20706686214734,15.3798322246178,1.46013091056292,7.0134979121941,0,0,16,3.60844281199775
"Oman","Asia","Developing",74.84375,67.75,1,1.001875,387.410820335625,98.8125,10.875,44.78125,1,98.5,3.001875,98.75,0.1,7621.311126875,2872289.125,7.025,6.825,0.7155,12.225,8.33563788129109,14.8489592037737,1.99048969866391,5.11270505758795,0.693147180559945,0.693147180559945,16,2.70223537947982
"Pakistan","Asia","Developing",64.5,154,367.9375,0.479375,26.1203906045625,62.75,3842.3125,18.3125,461,64.1875,3.453125,70.875,0.1,666.11105159375,187034709.75,15.0875,15.5125,0.500875,6.71875,5.8483205615145,19.041053532612,7.97861063339305,2.61878891609136,5.91044223796243,6.13510784227214,16,7.01146097689009
"Panama","North America","Developing",76.4875,115.875,1.125,6.2425,569.971616201938,79.875,0.25,49.3125,1.6875,84.6875,7.576875,80,0.125,5417.76889025,3474971.375,2.08125,2.01875,0.74825,12.775,7.99424254397543,15.057560870672,0.100589869527131,5.15512131244723,0.743830319073466,0.971904442384308,16,2.04416977224573
"Papua New Guinea","Oceania","Developing",61.68125,266.5625,10.625,0.8125,75.370481651875,57,2349.875,40.7875,13.75,62.5625,5.458125,68.375,1.16875,711.8290122,7101349.625,1.40625,1.3625,0.4661875,8.54375,6.12597903607312,15.7658773434368,4.01342538340287,3.82650882513804,2.45227738341689,2.68992549564513,16,5.42497933250384
"Paraguay","South America","Developing",73.1125,139.9375,3.1875,5.819375,229.790694404375,82.25,0,39.525,3.6875,77.9375,6.663125,89.625,0.1375,1983.4043354375,5607681.3125,2.2,2.11875,0.6561875,12.16875,7.06706769853891,15.5381369346709,0,4.64056923083976,1.42410011942021,1.53460280333338,16,0.994922125977933
"Peru","South America","Developing",73.6625,122.4375,11.8125,4.1525,417.078699565,80.3125,0.375,44.86875,15.125,82.8125,4.881875,81,0.29375,2928.543541625,28574241.6875,1.21875,1.21875,0.70325,13.30625,7.37125979913405,17.1672753362595,0.187233267097124,5.30145999971149,2.51969484091919,2.74750403816189,16,0.547979640308965
"Philippines","Asia","Developing",67.575,217.9375,61.1875,4.56375,89.55657082675,62.125,7144.6875,19.1875,78.8125,78.1875,4.153125,79.125,0.1,1397.1361066875,92301456.1875,1,9.69375,0.6504375,11.54375,6.38524878699454,18.3368964120956,7.54143848692443,3.58557145537343,4.1263630041119,4.37467663208304,16,5.66758571001376
"Poland","Europe","Developed",75.65,107.5625,2.25,10.08125,310.682268485,97.375,47.4375,53.73125,2.6875,96.75,6.465,98.75,0.1,6792.5636004375,38127253.1875,2.20625,2.3625,0.8131875,15.25,8.1407283923864,17.456437555152,2.9029380296358,4.72983736382528,1.17053280678105,1.29236005590761,16,1.69090185344098
"Portugal","Europe","Developed",79.99375,58.875,0.1875,12.269375,1614.89704591875,87.625,7.25,43.63125,0.375,96.5,8.025625,97,0.1,11598.62553125,10473242.25,0.71875,0.5375,0.805,15.9375,8.85191506215452,16.1643025738705,1.4457831531181,6.53756318743013,0.12996509635499,0.25993019270998,16,3.07442294382015
"Qatar","Asia","Developing",77.03125,75.375,0,1.05625,2466.8550051575,95.0625,96.25,65.65,0,95.875,2.555625,89.6875,0.1,40748.444104375,1310722.9375,4.95625,4.5875,0.828375,12.85,9.79539613934476,13.9942394348875,3.97576655582789,6.55652910312688,0,0,16,9.94007523841943
"Republic of Korea","Asia","Developing",80.4875,76.1875,2.125,9.055,0,95.125,3548.4375,23.24375,2.5625,91.25,6.078125,96.0625,0.1,2107.598541725,48971749.75,1.5375,1.01875,0.8053125,14.8375,6.89461140210747,17.7064487942034,4.23515293651669,0,1.10109313123939,1.24833248170894,16,12.6879112084745
"Republic of Moldova","Europe","Developing",69.98125,210.3125,1,9.12625,0,95,390.875,43.90625,1.0625,94.9375,7.266875,72.8125,0.1,1458.120538875,2879277.125,3.025,3.2,0.5915625,12.69375,6.31405414220053,14.8730140618452,2.62908774674819,0,0.693147180559945,0.718488749816706,16,4.90830427236055
"Romania","Europe","Developed",74.05,156.0625,2.8125,9.151875,426.536634242625,91.8125,1365.6875,52.25,3.25,94.75,5.22625,95,0.1,4258.9400543125,20862126.375,3.16875,3.50625,0.762625,13.925,7.62862655478662,16.852684331269,4.8921564553239,4.85244239650631,1.31218568467969,1.41022417954931,16,2.30027284975392
"Russian Federation","Europe","Developing",67.7625,224.5625,16.6875,11.335,326.084075064875,92.5,1616.4375,53.31875,19.3125,97.5625,6.403125,97.125,0.2625,6545.137359,143964171.75,2.44375,2.60625,0.7621875,13.74375,7.98117429816095,18.785042663346,6.66185481503195,4.59711246041948,2.859999621905,2.99783429086872,16,7.77317449634615
"Rwanda","Africa","Developing",59.3125,246.8125,20.75,5.284375,20.1913534375,84.875,505.875,14.75,32.0625,88.5,6.250625,89.375,4.425,300.01801709375,9743289.875,6.63125,6.65625,0.4176875,9.2875,5.16209078209073,16.0856784861558,4.49867800277012,2.37434004910247,3.0170817619775,3.40952674359056,16,3.83435206728599
"Saint Lucia","North America","Developing",73.6,146.25,0,11.12625,0,84.75,0,39.59375,0,84.875,7.01875,83.8125,0.15,956.93009798125,167746.1875,4.35,4.38125,0.66475,12.70625,6.30682020066312,12.0297687302147,0,0,0,0,16,3.52968099423747
"Saint Vincent and the Grenadines","North America","Developing",73.475,152.0625,0,5.97125,0,94.125,0,41.99375,0,97.875,5.1,98.3125,0.28125,1398.15268781875,110910.875,3.6625,3.6125,0.65725,13.18125,6.40883820618505,11.6162992053149,0,0,0,0,16,3.3957297737581
"Samoa","Oceania","Developing",73.61875,133.5625,0,3.205,254.597017984375,54.9375,0.5625,62.90625,0,57.25,5.5425,62.9375,0.1,2121.6206485,190648.875,0.2,0.16875,0.6784375,12.64375,7.10301145318245,12.1577033771879,0.18064823486851,4.70675532852118,0,0,16,5.40019271085459
"Sao Tome and Principe","Africa","Developing",65.1625,164.9375,0,3.93,52.3150942088125,80.3125,0,20.85,0,90.5625,6.57625,95.125,0.96875,724.859077575,171722.0625,6.6375,6.55625,0.52825,10.25625,6.01602684435555,12.0481868879851,0,3.02959142976816,0,0,16,2.69102065182976
"Saudi Arabia","Asia","Developing",73.46875,52.125,8.625,0.291875,838.506400329375,96.8125,759.3125,55.3125,10,96.8125,3.983125,96.875,0.1,10689.0529458125,22654251.75,7.35625,7.36875,0.782625,13.2875,8.82164918898866,16.9199023647161,5.67962341964494,5.93684797431982,2.25963764665001,2.39276531691159,16,6.97118852485637
"Senegal","Africa","Developing",62.56875,174.1875,22.3125,0.41375,21.4864262246875,81.6875,3248.75,18.44375,36.625,75.4375,5.00125,78.3125,0.53125,274.61116614375,12037352.5625,8.09375,7.9875,0.4325625,7.125,4.84771645503763,16.2969606480115,4.71478514230818,2.25197123681385,3.14358269603999,3.60696565738765,16,6.01924725749874
"Serbia","Europe","Developing",73.95625,130.4375,1,8.644375,464.744738045687,91.6875,73.8125,52.1375,1.0625,94.625,6.24,93.3125,0.1,3674.5424077625,7343229.9375,2.39375,2.425,0.7416875,13.53125,7.71039525583041,15.8091140618269,2.82517569857148,5.33401535134452,0.693147180559945,0.718488749816706,16,1.18932112628078
"Seychelles","Africa","Developing",72.375,161.1875,0,5.8425,466.8304218925,98.6875,0.6875,28.40625,0,98.5,3.849375,98.5,0.1,6496.3023970625,86143.625,5.90625,6.3,0.6908125,12.90625,8.20427729976512,11.3629024017416,0.193190153334895,5.09121376463604,0,0,16,3.36791169711292
"Sierra Leone","Africa","Developing",46.1125,357.8125,27.5625,3.011875,29.1055785935625,69.9375,673.875,18.30625,41.875,71.75,9.0425,72.125,1.51875,271.50556128125,5827262.5,7.68125,7.1,0.3618125,8.23125,5.34574518269967,15.569337666717,5.05005478592371,2.89078927812268,3.34703443704437,3.74707646703603,16,18.2670025718936
"Singapore","Asia","Developed",81.475,62,0,1.7625,2332.57175895,95.875,85.75,25.90625,0,96.125,3.574375,96.1875,0.1,32790.105906875,4730173.6875,2.125,2.06875,0.866875,13.98125,10.0749952703037,15.3630832854886,3.58208133620976,6.84664926165902,0,0,16,13.9649365532508
"Slovakia","Europe","Developed",74.75,118.0625,0,10.070625,0,98.5625,0.25,51.81875,0.125,98.4375,7.206875,98.625,0.1,1624.6279342,5389344.3125,1.34375,1.425,0.8033125,14.35,6.98515535889714,15.4999294015709,0.15530666561175,0,0,0.0866433975699932,16,3.71466118710241
"Slovenia","Europe","Developed",79.73125,76.4375,0,10.648125,1556.33454500875,94.6875,6.0625,52.2,0,95.1875,8.633125,95,0.1,11441.0443775,2024922.375,1.76875,1.79375,0.8604375,16.475,8.60784111719327,14.5209464873629,0.808787304158992,6.23910916924058,0,0,16,2.09050431191608
"Solomon Islands","Oceania","Developing",67.7125,140.0625,0,0.895,112.027415570563,78.625,0,39.175,0,87.75,6.14375,75.375,0.1,801.912383175,518786.125,1.24375,1.2625,0.48025,8.6375,6.15310045413826,13.1529289161111,0,3.7831982871128,0,0,16,3.87039028062395
"Somalia","Africa","Developing",53.31875,316.75,49.875,0.01,0,39.8125,5494.0625,18.6875,80.5625,29.8125,4.638125,29.3125,0.8375,851.577833275,11339488.4375,7.26875,7.08125,0.25975,4.25,5.60910330937122,16.2353542221209,7.04597636110485,0,3.92842942657563,4.40065962717551,16,9.36845222373458
"South Africa","Africa","Developing",57.5,412.75,48.6875,7.63125,616.359643518125,66.5,1506,38.15,69.8125,65.3125,8.120625,70.1875,18.49375,4869.4270436875,51201043.8125,9.175,11.075,0.6290625,12.89375,8.27673042326855,17.7497368106204,5.49993644432185,5.87221162412193,3.90028954968,4.24550792019554,16,19.8468051587102
"South Sudan","Africa","Developing",53.875,346.3125,27.75,2.70375,8.2410769375,55.9375,315.75,18.6875,43.25,51.5625,4.670625,52.625,3.69375,738.3491563625,8711843.9375,6.89375,6.80625,0.1316875,1.53125,6.34739341804691,15.9586385422292,2.11556257074797,0.712771693672505,3.35719167187254,3.78700888760372,16,25.0235652514748
"Spain","Europe","Developed",82.06875,63.625,1.625,10.479375,2332.68018388437,92.5,449.875,58.66875,1.875,96.75,8.37,96.75,0.1,17093.459736875,44570849.0625,0.6,0.5,0.8505625,16.35625,9.1602477549561,17.6113156965578,4.86761475643351,6.73572238492119,0.946562873127548,1.04792915015459,16,2.58138893073312
"Sri Lanka","Asia","Developing",73.4,144.375,4,2.28,59.75360089375,91.875,1420.4375,17.275,4.75,98.375,3.951875,98.4375,0.1,1040.110189675,20411011.375,15.325,15.36875,0.7251875,13.21875,6.54620974191305,16.8312492500809,4.67881871144775,3.63244712462153,1.59236898467859,1.71591159766122,16,8.67286328493416
"Sudan","Africa","Developing",61.825,240.3125,64.625,1.544375,97.69844266625,66.3125,3108,23.16875,96.625,72.25,5.639375,72.375,0.25,1192.79795343125,33458687.625,8.6375,8.5625,0.441,6.375,6.89611145778604,17.3197523491268,7.29510208929316,4.02204134623886,4.18194272266041,4.57811071919092,16,7.27665280143062
"Suriname","South America","Developing",70.08125,166,0,5.1675,508.494032814375,75,0,50.15625,0,78.25,6.99125,82.5625,0.7625,4781.2168219375,533192.1875,3.5125,3.45625,0.4810625,11.825,7.81225670043954,13.1849424086508,0,5.28340323271418,0,0,16,5.79093552534067
"Swaziland","Africa","Developing",51.325,339,2.625,4.71125,278.0997131315,76,49.125,25.5,3.6875,89,7.13125,83.75,32.94375,2165.0908375,1094477.0625,6.475,6.63125,0.5156875,10.35,7.20507755231107,13.9054042150835,1.59666673086821,4.62388881502739,1.27841358395047,1.53970555264841,16,72.1285730097876
"Sweden","Europe","Developed",82.51875,59.1875,0,6.870625,4438.16315355,71.25,18.9375,56.25,0,98.3125,9.928125,98.3125,0.1,29334.990639375,9241468.5,1.35,1.30625,0.893125,15.86875,9.86974869225791,16.0387154883161,2.58733622860765,7.55926617889398,0,0,16,3.86245277228382
"Switzerland","Europe","Developed",82.33125,55.75,0,10.435625,9801.81037748125,76.5625,397.5,51.4375,0,95.375,6.415,94.5625,0.1,57362.87460125,7661607.125,0.5375,0.39375,0.9110625,15.39375,10.7555111060944,15.8507375469508,4.30983299091405,8.3985551845303,0,0,16,8.31541020835795
"Syrian Arab Republic","Asia","Developing",70.85,139.625,8,0.780625,39.2994856325,64.125,295.6875,47.3125,9.5625,64.8125,3.9875,48.4375,0.1,1985.49187936875,19988623.5,6.45,6.25625,0.6180625,10.98125,6.72565309749058,16.8052835691898,4.9124353006591,2.06235056080272,2.18877275304474,2.3512837134496,16,2.18705277377465
"Tajikistan","Asia","Developing",66.65625,177.5625,10.6875,0.705,17.2771924581875,85,208.1875,33.1125,12.75,88.3125,5.9,89.25,0.25625,335.84172523125,7340964.0625,3.80625,3.85,0.5838125,10.68125,5.07820440603187,15.8043028921527,2.07064531423131,2.18714052210038,2.45366988678357,2.61359976024787,16,5.47967917229803
"Thailand","Asia","Developing",73.08125,160.375,12.125,5.85125,401.2599634,97,4311.9375,21.59375,14.125,98.3125,3.749375,98.1875,0.3875,3494.781701625,67143690.375,8.54375,8.7,0.6946875,12.55,7.69302367379399,18.0217354118554,7.68061443072902,5.11877084585861,2.54730938793663,2.68745763225908,16,5.07163329273857
"The former Yugoslav republic of Macedonia","Europe","Developing",74.1125,60.8125,0,2.645,0,87.6875,74.75,52.90625,0,95.5,7.810625,94.875,0.1,1226.0568120125,1974959.0625,2.43125,2.45625,0.45575,12.38125,6.61344138787793,14.4958333347488,2.82897954969572,0,0,0,16,11.8666251075573
"Timor-Leste","Asia","Developing",64.75625,170.375,2.375,0.28375,21.1875232745,67.375,85.0625,14.55,3,65.5,1.72,67.625,0.1,551.7106493125,1011184.75,10.525,11.69375,0.517625,10.7,5.95897016605845,13.8179608424602,2.69917853789067,2.6545539809575,1.20649306583753,1.3701597308355,16,4.93803052224451
"Togo","Africa","Developing",56.6625,311.3125,14.1875,1.245,23.705604090625,61,532.5,17.99375,21.4375,67.1875,5.240625,74.3125,3.8625,317.20409206875,6325910.9375,7.86875,7.7375,0.4459375,10.65,5.1966191300076,15.6524401073644,5.19430397294114,2.3704188884271,2.71959438002183,3.11010230203354,16,6.65242165895115
"Tonga","Oceania","Developing",72.53125,129.625,0,1.095,323.809342928188,75.5,0.25,62.94375,0,76.875,5.315,70.3125,0.1,1981.5551861875,105903.6875,0.1,0.1,0.6988125,14.21875,7.04299515249175,11.570190108538,0.100589869527131,4.84400227533197,0,0,16,5.41901638966529
"Trinidad and Tobago","North America","Developing",71.06875,163.375,0,5.675625,559.314872033125,49.0625,0,37.73125,0.25,76.4375,5.099375,66.5,0.625,7741.7480900625,1324515.875,6.1375,6.50625,0.753375,12.33125,8.08475705063494,14.0964737648035,0,5.14710584023216,0,0.173286795139986,16,2.34385863025386
"Tunisia","Africa","Developing",74.35625,18.75,3.25,1.884375,366.74126047625,96.75,33.1875,48.25625,3.6875,97.6875,5.9625,97.6875,0.1,3044.081488375,10535024.8125,6.40625,6.3375,0.692625,14.05625,7.85293995905683,16.1691194047208,2.55066685206441,5.4206047729433,1.44208024894844,1.53205142867586,16,7.89606985947022
"Turkey","Asia","Developing",73.9125,98.375,26.9375,1.763125,253.417177534063,87.0625,5272.9375,56.4125,32.25,80.8125,5.696875,80.75,0.1,3983.91772175,33501352.8125,5.0125,4.85,0.7033125,12.675,7.48891548496714,15.9131122099988,5.98639881460939,4.39172889371493,3.27990715468305,3.44900734695076,16,2.65466316412731
"Turkmenistan","Asia","Developing",64.61875,214.8125,6.5625,2.489375,187.781987555062,97.125,15.125,38.11875,8.0625,95.5625,3.166875,96.375,0.1,2511.6115398625,5336015.6875,3.3375,3.3625,0.211625,9.83125,7.05257616224459,15.4857174163329,1.18100933828932,4.11264338132584,2.02102155740661,2.20303320206492,16,18.1286531523161
"Uganda","Africa","Developing",55.70625,300.1875,89.6875,7.576875,47.6921083495625,62.1875,12394.625,15.525,138.875,65.4375,8.354375,64.875,7.65,421.04849634375,30345848.1875,6.2625,6.25625,0.4453125,10.59375,5.76076785010151,17.2188685454809,7.86877076743032,3.29454984665234,4.49009676597372,4.91454559791799,16,5.32563043400025
